カテゴリ,項目,内容
基本情報,業種,
基本情報,事業形態 (店舗/EC/サービス/混合),
基本情報,スタッフ数,
基本情報,営業時間・定休日,
基本情報,所在地・商圏,
顧客,主要客層 (年代・性別・属性),
顧客,客単価平均 (円),
顧客,月間来店または購入数,
顧客,リピート率 (2回目以降の割合 %),
顧客,新規流入経路 (Instagram/紹介/通り掛かり等),
LINE運用,現在の友だち数,
LINE運用,使用中ツール (公式単体/Lステップ/エルメ/UTAGE 等),
LINE運用,過去 3 ヶ月の配信開封率の目安 (%),
LINE運用,過去最も反応が良かった配信の内容,
LINE運用,過去に失敗した配信や理由,
課題,いま一番困っていること,
課題,2番目に困っていること,
課題,3番目に困っていること,
ゴール,3ヶ月の数値目標 (例: 2回目来店率 35→55%),
ゴール,半年後の理想状態,
ゴール,数値で達成判定したい KPI (3 つまで),
予算,LINE 運用にかけられる月予算 (円),
予算,広告費 (友だち追加目的) 月予算 (円),
施策の好み,クーポンメインで動きたい? (はい/いいえ/わからない),
施策の好み,シナリオ配信に興味ある? (はい/いいえ),
施策の好み,リッチメニューを刷新したい? (はい/いいえ),
施策の好み,予約システムを LIFF で組みたい? (はい/いいえ),
施策の好み,抽選/くじ要素は使いたい? (はい/いいえ),
施策の好み,フォーム/アンケートで顧客情報を集めたい? (はい/いいえ),
施策の好み,自動応答 (FAQ Bot) を入れたい? (はい/いいえ),
配信ペース,理想の配信頻度 (週何回),
配信ペース,送りたくない時間帯,
配信ペース,絶対送りたい時間帯/曜日,
コンテンツ,既にある販促コンテンツ (動画・写真・記事),
コンテンツ,作成して欲しい内容 (例: クーポン画像・LP・動画),
法令配慮,薬機法/景表法/特商法で気をつけたい点,
法令配慮,業界規制 (医療広告ガイドライン 等),
備考,移行元ツールの友だち CSV を出せる? (はい/いいえ),
備考,その他自由記述,
